layer,key,shape,numel,norm_a,norm_b,norm_ratio,mean_a,mean_b,mean_ratio,std_a,std_b,std_ratio,zero_frac_a,zero_frac_b,cos_sim,rel_l2_err,mean_rel_diff,max_rel_diff,pearson,max_abs_diff,mean_abs_diff,spearman,q01_abs_diff,q05_abs_diff,q50_abs_diff,q95_abs_diff,q99_abs_diff
37,model.layers.37.self_attn.q_proj.weight,"(4096, 5120)",20971520,38.813419342041016,38.78679656982422,1.0006864070892334,1.138989659921208e-06,1.0679074193831184e-06,1.0665621757507324,0.008475531823933125,0.008469718508422375,1.0006864070892334,0.0,0.0,0.9993193745613098,0.03688875213265419,0.4600442051887512,443898.1875,0.9993193745613098,0.002685546875,0.00024491787189617753,0.9991438984870911,0.0,5.9604644775390625e-06,0.0001983642578125,0.0006103515625,0.0008544921875
37,model.layers.37.self_attn.v_proj.weight,"(1024, 5120)",5242880,36.918033599853516,36.91014099121094,1.000213861465454,-6.350080639094813e-06,-6.175943326525157e-06,-6350080.5,0.01612328551709652,0.01611984148621559,1.000213623046875,0.0,0.0,0.9997926950454712,0.020365022122859955,0.2371329814195633,109673.4921875,0.9997926950454712,0.00356292724609375,0.0002539488486945629,0.9997404217720032,0.0,0.0,0.000240325927734375,0.000640869140625,0.00091552734375
38,model.layers.38.input_layernorm.weight,"(5120,)",5120,103.828369140625,103.828369140625,1.0,1.3578083515167236,1.3578083515167236,1.0,0.5117517709732056,0.5117517709732056,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9999998211860657,0.0,0.0,0.0,0.0,0.0
38,model.layers.38.mlp.down_proj.weight,"(5120, 14336)",73400320,80.98577880859375,80.95795440673828,1.000343680381775,-1.5429875475092558e-06,-1.5339519450208172e-06,-1542987.5,0.00945278536528349,0.00944953877478838,1.0003435611724854,0.0,0.0,0.9996365904808044,0.026966199278831482,0.4005883038043976,3284218.25,0.9996362924575806,0.0059814453125,0.00019047394744120538,0.9995837807655334,0.0,0.0,0.000152587890625,0.0004916191101074219,0.0007781982421875
38,model.layers.38.mlp.gate_proj.weight,"(14336, 5120)",73400320,85.40406799316406,85.3474349975586,1.0006635189056396,1.128684471041197e-05,1.1181277841387782e-05,1.0094413757324219,0.009968488477170467,0.009961877949535847,1.0006636381149292,0.0,0.0,0.9992971420288086,0.037490855902433395,0.452481746673584,1552302.75,0.9992969036102295,0.0059051513671875,0.00028745876625180244,0.9991810321807861,0.0,0.0,0.000244140625,0.000732421875,0.001068115234375
38,model.layers.38.mlp.up_proj.weight,"(14336, 5120)",73400320,85.4099349975586,85.360107421875,1.0005837678909302,3.360101459293219e-07,3.042599132641044e-07,1.104352355003357,0.009969180449843407,0.009963363409042358,1.0005838871002197,0.0,0.0,0.9994015097618103,0.0345938540995121,0.37651363015174866,1112403.375,0.9994014501571655,0.0055084228515625,0.00026555548538453877,0.9993194937705994,0.0,0.0,0.00022125244140625,0.00067138671875,0.0009765625
38,model.layers.38.post_attention_layernorm.weight,"(5120,)",5120,102.86954498291016,102.86954498291016,1.0,1.432904839515686,1.432904839515686,1.0,0.11665523052215576,0.11665523052215576,1.0,0.0,0.0,0.9999998211860657,0.0,0.0,0.0,1.0,0.0,0.0,0.9999998807907104,0.0,0.0,0.0,0.0,0.0
38,model.layers.38.self_attn.k_proj.weight,"(1024, 5120)",5242880,18.001890182495117,17.987384796142578,1.000806450843811,-2.8437630135158543e-06,-2.8289839519857196e-06,-2843763.0,0.007862002588808537,0.007855665870010853,1.0008066892623901,0.0,0.0,0.9991841912269592,0.040387704968452454,0.5840978026390076,211688.5,0.9991841912269592,0.00689697265625,0.00024659588234499097,0.9988095164299011,0.0,1.049041748046875e-05,0.0001983642578125,0.0006256103515625,0.000878453254699707
38,model.layers.38.self_attn.o_proj.weight,"(5120, 4096)",20971520,53.46176528930664,53.43913269042969,1.000423550605774,1.9589388102758676e-06,1.8097913425663137e-06,1.0824114084243774,0.011674233712255955,0.01166929118335247,1.000423550605774,0.0,0.0,0.999556303024292,0.0297873355448246,0.38622796535491943,645278.5625,0.9995562434196472,0.002685546875,0.00027462575235404074,0.9994568228721619,0.0,0.0,0.000244140625,0.00067138671875,0.00091552734375
38,model.layers.38.self_attn.q_proj.weight,"(4096, 5120)",20971520,39.1091194152832,39.073631286621094,1.0009082555770874,3.2092423225549283e-06,3.2450568596686935e-06,0.9889633655548096,0.008540102280676365,0.008532353676855564,1.0009081363677979,0.0,0.0,0.9990502595901489,0.04357485845685005,0.5128005146980286,348609.34375,0.9990501403808594,0.0084381103515625,0.00028316042153164744,0.998760998249054,0.0,1.52587890625e-05,0.000244140625,0.000732421875,0.0010814666748046875
38,model.layers.38.self_attn.v_proj.weight,"(1024, 5120)",5242880,39.58002471923828,39.57146072387695,1.0002163648605347,5.134422735864064e-06,5.253899416857166e-06,0.9772594571113586,0.017285862937569618,0.01728212460875511,1.0002163648605347,0.0,0.0,0.9997813701629639,0.020906930789351463,0.28182253241539,248607.046875,0.9997814893722534,0.00396728515625,0.0002739019109867513,0.9997280836105347,0.0,0.0,0.000244140625,0.000732421875,0.001068115234375
39,model.layers.39.input_layernorm.weight,"(5120,)",5120,107.61573791503906,107.61573791503906,1.0,1.455970048904419,1.455970048904419,1.0,0.37695378065109253,0.37695378065109253,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0000001192092896,0.0,0.0,0.9999998807907104,0.0,0.0,0.0,0.0,0.0
39,model.layers.39.mlp.down_proj.weight,"(5120, 14336)",73400320,79.19060516357422,79.17872619628906,1.0001500844955444,6.393872808985179e-08,6.926399720441623e-08,0.9231163263320923,0.009243248961865902,0.009241863153874874,1.0001499652862549,0.0,0.0,0.9998369216918945,0.018060749396681786,0.23722991347312927,867279.1875,0.9998368620872498,0.00189208984375,0.00013017507444601506,0.9998036623001099,0.0,0.0,0.0001220703125,0.000335693359375,0.000457763671875
39,model.layers.39.mlp.gate_proj.weight,"(14336, 5120)",73400320,89.0739974975586,89.02177429199219,1.0005866289138794,-2.411601599305868e-06,-2.4878161184460623e-06,-2411601.5,0.010396854020655155,0.010390758514404297,1.0005866289138794,0.0,0.0,0.9994093179702759,0.0343666709959507,0.4106338620185852,3053918.0,0.9994092583656311,0.0068359375,0.00027322227833792567,0.9993216395378113,0.0,0.0,0.00023651123046875,0.0007171630859375,0.00103759765625
