layer,key,shape,numel,norm_a,norm_b,norm_ratio,mean_a,mean_b,mean_ratio,std_a,std_b,std_ratio,zero_frac_a,zero_frac_b,cos_sim,rel_l2_err,mean_rel_diff,max_rel_diff,pearson,max_abs_diff,mean_abs_diff,spearman,q01_abs_diff,q05_abs_diff,q50_abs_diff,q95_abs_diff,q99_abs_diff,shape_a,shape_b,note
17,model.layers.17.self_attn.kv_a_proj_with_mqa.weight,"(576, 7168)",4128768.0,52.25044631958008,170246.734375,0.0003069101367145777,1.0385627319919877e-05,-0.0285982433706522,10385627.0,0.02571459487080574,83.78543853759766,0.00030691007850691676,0.0,1.64698049047729e-05,-0.00025612537865526974,3258.283447265625,32944.5,6170728448.0,-0.00025598728097975254,448.08056640625,62.26191329956055,-0.0003090911195613444,0.56842041015625,2.9708251953125,47.99053955078125,175.99029541015625,240.00726318359375,,,
17,model.layers.17.self_attn.kv_b_proj.weight,,,,,,,,,,,,,,,,,,,,,,,,,,,"(20480, 512)","(32768, 512)",shape_mismatch
17,model.layers.17.self_attn.o_proj.weight,,,,,,,,,,,,,,,,,,,,,,,,,,,"(7168, 12288)","(7168, 16384)",shape_mismatch
17,model.layers.17.self_attn.q_a_layernorm.weight,"(1536,)",1536.0,34.80843734741211,71.4225845336914,0.487358957529068,0.8416678309440613,1.7221121788024902,0.48874157667160034,0.2835759222507477,0.5961664915084839,0.4756656587123871,0.0,0.0,0.9030390381813049,1.226518154144287,1.6782481670379639,12.22449016571045,0.07202701270580292,2.33984375,0.9916335940361023,0.04734980687499046,0.02998046763241291,0.1875,0.9921875,1.771728515625,1.9871584177017212,,,
17,model.layers.17.self_attn.q_a_proj.weight,"(1536, 7168)",11010048.0,65.14446258544922,321128.125,0.0002028612798312679,-4.929692295263521e-06,-0.01455902960151434,-4929692.5,0.01963282749056816,96.77958679199219,0.00020286125072743744,0.0,9.627569852455053e-06,-4.241860006004572e-05,4929.4775390625,52557.51171875,18325194752.0,-4.245636591804214e-05,448.07080078125,74.48712921142578,0.0001362136099487543,0.996406078338623,5.004058837890625,59.98846435546875,192.0155029296875,256.0211181640625,,,
17,model.layers.17.self_attn.q_b_proj.weight,,,,,,,,,,,,,,,,,,,,,,,,,,,"(12288, 1536)","(24576, 1536)",shape_mismatch
18,model.layers.18.input_layernorm.weight,"(7168,)",7168.0,8.183807373046875,3.3382041454315186,2.4515597820281982,0.09620203822851181,0.039202623069286346,2.4539694786071777,0.009420068934559822,0.004217475187033415,2.2335801124572754,0.0,0.0,0.9894074201583862,0.5993494391441345,0.5898592472076416,0.8570205569267273,-0.011786285787820816,0.244384765625,0.05704042315483093,-0.023784292861819267,0.037517089396715164,0.044677734375,0.056640625,0.069091796875,0.08479499816894531,,,
18,model.layers.18.mlp.gate.e_score_correction_bias,"(256,)",256.0,61.60676956176758,41.250099182128906,1.4934937953948975,3.85028076171875,2.5781235694885254,1.4934430122375488,0.033120837062597275,0.006174576468765736,5.364066123962402,0.0,0.0,0.9999595284461975,0.3305109143257141,0.33035486936569214,0.3394644260406494,-0.022922711446881294,1.3207287788391113,1.272157073020935,-0.05816549062728882,1.1067572832107544,1.217929482460022,1.2792797088623047,1.3041973114013672,1.3142949342727661,,,
18,model.layers.18.mlp.gate.weight,"(256, 7168)",1835008.0,62.404762268066406,47.435638427734375,1.3155670166015625,-1.1139907201140886e-06,6.144194776425138e-05,-0.01813078485429287,0.04606793448328972,0.03501749783754349,1.3155690431594849,0.0,0.0,-0.004603174980729818,1.2588858604431152,7.086386680603027,442694.53125,-0.00460314005613327,0.573974609375,0.04576636105775833,-0.0039298199117183685,0.000732421875,0.0035400390625,0.038177490234375,0.1138916015625,0.154052734375,,,
18,model.layers.18.mlp.shared_experts.down_proj.weight,"(7168, 2048)",14680064.0,43.53554916381836,240439.25,0.00018106673087459058,1.4454867596214171e-06,-0.00017534728976897895,1445486.75,0.011362660676240921,62.75399398803711,0.00018106673087459058,0.0,1.7574855519342236e-05,0.00022354235989041626,5522.82568359375,59994.03515625,18715090944.0,0.00022354266548063606,448.047119140625,46.17118453979492,0.00018709719006437808,0.556640625,2.7505874633789062,35.99163818359375,127.9959716796875,192.00270080566406,,,
18,model.layers.18.mlp.shared_experts.gate_proj.weight,"(2048, 7168)",14680064.0,68.10252380371094,174105.203125,0.00039115731487981975,-1.824098490033066e-06,-0.016652898862957954,-1824098.5,0.01777457632124424,45.44099044799805,0.00039115731487981975,0.0,2.8542111977003515e-05,-0.0017099606338888407,2556.518310546875,41185.98046875,36463394816.0,-0.0017099983524531126,448.09033203125,30.620880126953125,-0.000603590568061918,0.3616943359375,1.77294921875,21.96533203125,88.0050048828125,160.00430297851562,,,
18,model.layers.18.mlp.shared_experts.up_proj.weight,"(2048, 7168)",14680064.0,43.06817626953125,245458.21875,0.00017546031449455768,4.456435817701276e-06,-0.02655646577477455,4456436.0,0.011240677908062935,64.06392669677734,0.0001754603290464729,0.0,1.5326910215662792e-05,0.0005423294496722519,5699.29443359375,114335.671875,302155857920.0,0.0005424936534836888,448.049560546875,47.35436248779297,0.0003372316714376211,0.61480712890625,3.0010299682617188,35.99693298339844,128.00460815429688,192.00543212890625,,,
18,model.layers.18.post_attention_layernorm.weight,"(7168,)",7168.0,22.301815032958984,22.7055721282959,0.9822177290916443,0.2629952132701874,0.26711398363113403,0.9845804572105408,0.014873315580189228,0.023936854675412178,0.6213563084602356,0.0,0.0,0.9944301247596741,0.10802360624074936,0.08046315610408783,60.73049545288086,0.002051776275038719,0.2660064697265625,0.015692267566919327,0.0013051369460299611,0.0,0.001953125,0.0107421875,0.0380859375,0.1560840606689453,,,
18,model.layers.18.self_attn.kv_a_layernorm.weight,"(512,)",512.0,1.7901164293289185,3.660754442214966,0.4890020489692688,0.07882831990718842,0.16143809258937836,0.4882882237434387,0.006702115759253502,0.010574103333055973,0.633823573589325,0.0,0.0,0.9943557381629944,1.055968999862671,9.782271385192871,4412.10986328125,0.014655434526503086,0.16304898262023926,0.08308067917823792,0.03451918065547943,0.06032714620232582,0.07373046875,0.08349609375,0.0908203125,0.09564942121505737,,,
