layer,key,shape,numel,norm_a,norm_b,norm_ratio,mean_a,mean_b,mean_ratio,std_a,std_b,std_ratio,zero_frac_a,zero_frac_b,cos_sim,rel_l2_err,mean_rel_diff,max_rel_diff,pearson,max_abs_diff,mean_abs_diff,spearman,q01_abs_diff,q05_abs_diff,q50_abs_diff,q95_abs_diff,q99_abs_diff,spec_rel_l2_err,spec_a_max,spec_a_min,spec_b_max,spec_b_min,spec_topk_u_cos_mean,spec_topk_u_cos_min,spec_topk_v_cos_mean,spec_topk_v_cos_min,spec_subspace_overlap_u,spec_subspace_overlap_v,shape_a,shape_b,note
56,model.layers.56.mlp.gate.weight,"(256, 7168)",1835008.0,34.74320983886719,19.54806137084961,1.77732253074646,-2.8119715352659114e-05,-4.95121676067356e-05,-28119716.0,0.025647832080721855,0.014430525712668896,1.777331829071045,0.0,0.0,0.005027512088418007,1.1449501514434814,16.79756736755371,19173962.0,0.005023784004151821,0.35650634765625,0.02323579043149948,0.0057222614996135235,0.0003662109375,0.00182342529296875,0.01947021484375,0.05743408203125,0.07708740234375,0.43872544169425964,"tensor(21.1496, device='cuda:0')","tensor(0.8035, device='cuda:0')","tensor(11.3195, device='cuda:0')","tensor(0.4171, device='cuda:0')",0.06055451184511185,8.225833153119311e-05,0.009095017798244953,0.00021601539629045874,0.06325720995664597,0.01191131491214037,,,
56,model.layers.56.mlp.shared_experts.down_proj.weight,"(7168, 2048)",14680064.0,43.35034942626953,259602.890625,0.00016698715626262128,-2.2467852431873325e-06,0.011219114996492863,-0.00020026403944939375,0.011314324103295803,67.75566101074219,0.00016698714171070606,0.0,1.7779215340851806e-05,0.00018444920715410262,5988.48486328125,75500.5859375,209430790144.0,0.00018448205082677305,448.043701171875,50.33238220214844,0.00031498249154537916,0.5814208984375,2.9986495971679688,39.9775390625,143.99240112304688,207.99267578125,5987.5185546875,"tensor(6.5458, device='cuda:0')","tensor(0.2855, device='cuda:0')","tensor(30401.8984, device='cuda:0')","tensor(1290.9520, device='cuda:0')",0.009396040812134743,8.548674668418244e-05,0.01737302914261818,0.00020304784993641078,0.01186367403715849,0.022339707240462303,,,
56,model.layers.56.mlp.shared_experts.gate_proj.weight,"(2048, 7168)",14680064.0,60.99186706542969,277887.03125,0.00021948439825791866,-2.8771706638508476e-05,-0.16783544421195984,-28771706.0,0.015918686985969543,72.52757263183594,0.00021948461653664708,0.0,1.4168876077746972e-05,0.0007131725433282554,4556.13134765625,52136.453125,89149587456.0,0.0007089931168593466,448.060791015625,53.01792907714844,0.0006087371148169041,0.6766357421875,3.2750244140625,39.98968505859375,144.1484375,224.0128173828125,4555.0693359375,"tensor(16.7388, device='cuda:0')","tensor(0.2801, device='cuda:0')","tensor(86191.8828, device='cuda:0')","tensor(715.9442, device='cuda:0')",0.0210866741836071,2.998450509039685e-05,0.00863826833665371,0.00018159743922296911,0.022923436015844345,0.011761260218918324,,,
56,model.layers.56.mlp.shared_experts.up_proj.weight,"(2048, 7168)",14680064.0,43.23442077636719,275242.4375,0.00015707759303040802,6.647403552051401e-06,-0.025669313967227936,6647403.5,0.01128406636416912,71.8375244140625,0.00015707760758232325,0.0,1.2329646779107861e-05,7.91480197221972e-05,6366.2802734375,83311.0234375,242650841088.0,7.935857138363644e-05,448.0361328125,54.48250961303711,3.576197116217372e-07,0.7516250610351562,3.7516403198242188,43.9874267578125,144.0050048828125,208.00418090820312,6365.25341796875,"tensor(5.0818, device='cuda:0')","tensor(0.3004, device='cuda:0')","tensor(42098.7969, device='cuda:0')","tensor(1519.8364, device='cuda:0')",0.017971942201256752,7.66696102800779e-05,0.010537700727581978,9.069939551409334e-05,0.021762192249298096,0.01179247722029686,,,
56,model.layers.56.post_attention_layernorm.weight,"(7168,)",7168.0,46.95489501953125,72.46005249023438,0.648010790348053,0.5543081164360046,0.8545451760292053,0.6486586332321167,0.018071549013257027,0.04731423407793045,0.38194739818573,0.0,0.0,0.9979482889175415,0.5489823222160339,0.5894161462783813,286.0303039550781,0.0042873951606452465,0.864166259765625,0.30292245745658875,4.710678695118986e-06,0.20574218034744263,0.26171875,0.3046875,0.3359375,0.353515625,0.5431841611862183,"tensor(46.9549, device='cuda:0')","tensor(46.9549, device='cuda:0')","tensor(72.4600, device='cuda:0')","tensor(72.4600, device='cuda:0')",1.0,1.0,0.997948169708252,0.997948169708252,1.0,0.9979486465454102,,,
56,model.layers.56.self_attn.kv_a_layernorm.weight,"(512,)",512.0,8.712090492248535,35.57992172241211,0.2448597401380539,0.38276100158691406,1.567657470703125,0.24416111409664154,0.04168030992150307,0.12235774844884872,0.3406429886817932,0.0,0.0,0.9910227060317993,3.0958361625671387,3.300891637802124,38.135135650634766,-0.010245977900922298,1.50732421875,1.185811996459961,-0.011821256950497627,0.794921875,1.060546875,1.181640625,1.3455077409744263,1.4352444410324097,3.083970785140991,"tensor(8.7121, device='cuda:0')","tensor(8.7121, device='cuda:0')","tensor(35.5799, device='cuda:0')","tensor(35.5799, device='cuda:0')",1.0,1.0,0.9910226464271545,0.9910226464271545,1.0,0.9910224676132202,,,
56,model.layers.56.self_attn.kv_a_proj_with_mqa.weight,"(576, 7168)",4128768.0,47.597591400146484,183532.03125,0.00025934213772416115,-1.8871554857469164e-05,0.05164165794849396,-0.0003654327883850783,0.023424729704856873,90.32366180419922,0.0002593421086203307,0.0,8.71930842549773e-06,-0.00022136930783744901,3855.91015625,38593.15625,9370838016.0,-0.00022090860875323415,448.0966796875,67.72931671142578,-0.0001948270946741104,0.83984375,4.02392578125,51.9749755859375,191.9862060546875,256.0028991699219,3854.888916015625,"tensor(10.6793, device='cuda:0')","tensor(0.3140, device='cuda:0')","tensor(30547.9570, device='cuda:0')","tensor(1284.9739, device='cuda:0')",0.030963219702243805,7.955916953505948e-05,0.009864401072263718,2.7641503038466908e-05,0.04146343097090721,0.01191268302500248,,,
56,model.layers.56.self_attn.kv_b_proj.weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(20480, 512)","(32768, 512)",shape_mismatch
56,model.layers.56.self_attn.o_proj.weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(7168, 12288)","(7168, 16384)",shape_mismatch
56,model.layers.56.self_attn.q_a_layernorm.weight,"(1536,)",1536.0,26.48945426940918,33.930782318115234,0.7806909084320068,0.6230399012565613,0.8265270590782166,0.753804624080658,0.26201432943344116,0.2576741874217987,1.016843557357788,0.0,0.0,0.8719205260276794,0.6379909515380859,1.015950083732605,8.636363983154297,-0.07028267532587051,1.142578125,0.34696221351623535,-0.051287006586790085,0.0078125,0.0234375,0.2900390625,0.80908203125,0.9527832269668579,0.2809164822101593,"tensor(26.4895, device='cuda:0')","tensor(26.4895, device='cuda:0')","tensor(33.9308, device='cuda:0')","tensor(33.9308, device='cuda:0')",1.0,1.0,0.8719205856323242,0.8719205856323242,1.0,0.8719204664230347,,,
